StudentID,Course,StudyHours,SleepHours,PlayHours,Marks
1,BBA,6.15,6.05,2.68,64
2,BCA,5.33,4.94,3.87,49
3,BSc_CS,3.3,7.39,1.74,47
4,BA_English,2.25,4.49,3.6,22
5,BSc_Math,6.37,5.31,1.21,66
6,BCom,6.55,4.61,2.22,70
7,BCom,1.23,4.79,1.12,20
8,BSc_Math,1.59,8.4,0.71,29
9,BCom,5.84,5.26,3.05,56
10,BA_English,2.49,4.22,3.54,22
11,BCom,4.94,4.83,3.32,45
12,BSc_Math,1.13,8.32,3.49,18
13,BA_English,6.0,7.56,3.29,63
14,BA_English,1.76,6.03,1.01,30
15,BCA,3.08,6.39,1.02,43
16,BBA,4.59,7.34,3.74,51
17,BSc_Math,7.1,6.69,2.27,78
18,BA_English,2.02,4.19,3.94,16
19,BSc_CS,3.61,4.91,3.93,32
20,BBA,4.44,4.62,1.1,45
21,BBA,6.68,4.51,1.05,73
22,BA_English,6.09,8.29,1.75,75
23,BSc_Math,2.78,6.2,1.62,37
24,BBA,3.3,6.49,0.76,40
25,BBA,5.1,6.05,1.26,59
26,BCA,6.87,5.19,2.23,71
27,BCom,3.76,4.81,2.56,41
28,BCA,7.98,6.54,2.27,82
29,BSc_Math,4.83,4.08,2.08,45
30,BCA,1.94,6.76,2.5,22
31,BA_English,1.79,7.51,2.96,20
32,BSc_CS,5.04,5.51,3.21,50
33,BA_English,7.42,5.97,3.6,74
34,BBA,1.23,8.37,3.92,17
35,BSc_CS,2.08,5.74,3.16,24
36,BSc_CS,3.07,7.86,1.95,44
37,BCom,3.78,4.59,3.89,37
38,BBA,2.09,5.35,1.24,26
39,BSc_Math,1.79,4.62,0.56,24
40,BSc_Math,1.08,5.73,3.81,12
41,BSc_Math,7.52,5.82,1.05,82
42,BBA,3.35,8.21,3.95,37
43,BBA,5.76,4.19,2.33,61
44,BCom,3.72,7.93,2.85,48
45,BBA,2.4,6.76,2.4,26
46,BCA,4.05,5.61,2.44,43
47,BBA,2.73,7.34,1.58,37
48,BCA,4.2,4.99,1.98,46
49,BCom,5.71,6.77,3.4,63
50,BSc_CS,6.88,5.36,0.61,81
51,BCA,2.42,4.21,1.07,31
52,BBA,1.44,4.78,1.19,15
53,BCom,7.73,8.73,0.7,97
54,BBA,2.61,7.74,1.09,33
55,BSc_Math,4.8,5.78,2.54,56
56,BSc_Math,2.93,5.96,0.58,40
57,BSc_Math,7.66,6.02,1.94,83
58,BSc_Math,5.82,5.92,2.45,62
59,BCom,7.48,8.35,0.6,91
60,BCom,4.86,4.07,3.84,41
61,BA_English,5.66,7.85,1.45,66
62,BA_English,6.49,6.18,2.01,70
63,BBA,4.06,7.63,0.79,53
64,BSc_Math,3.19,8.53,1.86,46
65,BBA,1.89,8.44,3.13,27
66,BA_English,5.35,5.86,2.85,54
67,BCom,4.39,7.45,2.5,53
68,BSc_Math,4.35,6.12,1.89,52
69,BBA,4.01,7.87,2.46,45
70,BSc_Math,7.6,8.65,1.34,88
71,BSc_Math,7.16,5.55,0.6,78
72,BCA,6.36,5.85,3.87,63
73,BBA,1.03,8.65,3.86,16
74,BSc_CS,4.02,7.99,2.0,51
75,BA_English,4.38,8.69,3.88,45
76,BA_English,4.39,6.19,3.75,44
77,BCom,2.53,5.77,3.13,26
78,BBA,7.73,7.35,3.32,85
79,BBA,3.12,7.58,3.5,38
80,BSc_CS,3.72,5.9,2.93,44
81,BCA,7.33,4.72,3.07,71
82,BSc_Math,1.01,7.63,1.2,21
83,BA_English,2.29,4.08,1.85,22
84,BSc_CS,1.95,8.54,1.99,26
85,BSc_CS,5.28,6.6,3.05,56
86,BA_English,2.42,8.34,0.55,40
87,BSc_CS,2.74,5.09,2.16,30
88,BSc_Math,1.24,7.04,3.2,15
89,BSc_CS,6.45,6.93,2.8,66
90,BSc_CS,5.99,8.87,1.82,76
91,BCA,3.08,6.62,0.96,45
92,BSc_CS,1.04,7.59,3.69,16
93,BCA,4.02,5.98,1.93,49
94,BCom,7.24,7.17,1.63,84
95,BA_English,4.24,8.74,2.3,54
96,BCA,3.0,6.32,2.06,36
97,BCA,1.17,8.42,2.26,21
98,BCom,5.63,4.01,0.54,66
99,BSc_CS,4.35,7.17,0.9,51
100,BCA,1.07,4.75,2.66,14
101,BSc_CS,7.3,8.0,3.52,82
102,BSc_CS,3.38,8.74,3.71,40
103,BA_English,3.04,4.42,0.54,38
104,BSc_Math,6.83,8.95,1.77,80
105,BSc_Math,5.43,7.04,2.89,58
106,BCA,7.7,5.95,1.35,83
107,BSc_Math,7.51,4.4,0.7,78
108,BA_English,7.51,6.46,1.12,88
109,BCom,6.53,4.01,2.14,69
110,BCA,1.67,8.29,2.39,28
111,BSc_Math,4.56,5.58,3.25,43
112,BSc_Math,7.58,4.62,1.46,78
113,BSc_Math,7.31,5.06,0.86,78
114,BCom,7.77,5.66,1.43,84
115,BA_English,6.7,4.66,2.03,68
116,BA_English,5.68,7.13,2.11,66
117,BCom,5.75,8.57,3.93,59
118,BSc_CS,6.93,6.03,0.9,74
119,BBA,7.93,5.53,3.48,83
120,BSc_Math,6.76,8.39,3.67,69
121,BCom,5.24,5.92,3.08,58
122,BA_English,1.57,6.26,1.95,25
123,BSc_Math,1.85,7.67,2.16,27
124,BCA,6.35,8.0,1.0,75
125,BA_English,4.07,5.82,2.74,45
126,BCom,2.39,5.14,2.37,27
127,BSc_CS,7.2,5.23,2.53,77
128,BBA,1.89,7.37,2.97,22
129,BSc_Math,2.44,4.17,2.96,27
130,BSc_Math,6.11,7.89,1.19,78
131,BCom,2.77,6.89,2.43,32
132,BCom,4.38,8.85,3.65,47
133,BCom,7.46,7.84,1.07,89
134,BA_English,3.09,5.64,1.87,32
135,BA_English,3.09,8.72,2.62,38
136,BA_English,1.07,8.73,3.04,22
137,BBA,7.24,7.77,2.97,83
138,BA_English,5.28,8.18,2.79,64
139,BA_English,7.12,6.43,2.08,79
140,BCA,3.57,4.39,2.65,39
141,BCA,7.33,7.9,3.06,83
142,BCom,4.51,8.59,1.06,54
143,BCom,2.46,7.59,0.64,42
144,BA_English,2.14,6.05,2.82,22
145,BBA,2.82,4.45,2.89,32
146,BA_English,7.0,5.84,3.68,74
147,BSc_Math,1.95,8.6,2.85,29
148,BA_English,2.9,6.19,1.09,40
149,BBA,3.92,6.7,1.1,51
150,BSc_CS,2.72,5.03,2.64,31
151,BCom,3.94,4.63,3.45,40
152,BBA,3.43,6.02,2.42,40
153,BSc_CS,2.71,5.88,1.22,39
154,BCA,6.18,7.73,1.25,71
155,BBA,1.5,7.46,0.69,24
156,BSc_CS,1.69,4.12,3.1,13
157,BCom,2.08,4.23,3.11,16
158,BA_English,7.34,8.71,3.73,82
159,BSc_CS,5.8,6.96,0.9,67
160,BSc_CS,6.66,6.42,2.92,70
161,BSc_CS,2.54,8.65,2.28,33
162,BCom,4.1,4.19,1.39,48
163,BA_English,2.76,4.04,2.29,24
164,BA_English,4.95,7.31,1.09,57
165,BCom,2.43,6.98,1.05,34
166,BSc_Math,2.08,7.22,0.81,36
167,BBA,3.16,7.31,3.34,40
168,BCom,1.06,5.46,1.29,14
169,BSc_Math,2.07,5.82,2.73,23
170,BCom,2.95,5.87,2.01,33
171,BBA,2.61,6.4,2.09,35
172,BCA,3.11,8.48,2.57,35
173,BSc_CS,4.42,8.35,2.55,55
174,BBA,2.98,7.27,3.39,36
175,BCom,4.93,5.06,0.87,54
176,BSc_Math,7.35,8.84,2.82,79
177,BCom,7.5,5.27,1.92,84
178,BSc_CS,3.73,7.41,2.02,50
179,BSc_CS,3.46,6.37,3.91,31
